geometry.type,geometry.coordinates,currentAvailabilities.bikesAvailable,currentAvailabilities.parkSpots,_id,id,number,name,address,currentStatus,lastUpdateSensor,createdAt,updatedAt,__v
Point,15.646833;46.5577328,20,20,628a97650dc4ae5249547f28,15c12236b57e5f196bc04c3fe838b54f08d5e23aec969c15852627ce527ae2edba08599f8d9da6eaad48b2e8ff5f6674fbb067d7af13c576b62087f6ce975d3b,10,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,OPEN,2022-05-05T09:51:18Z,2022-05-22T20:04:53.270Z,2022-05-22T20:04:53.270Z,0
Point,15.649072;46.558519,7,20,628a979b0dc4ae5249547f3a,4e0f76f9e20a705ba5a101ac25d672deca65c8a6f15fccf8513ec647c67ddf6dd14454dc093103005c4eb792d39f14eb79222a8a72ebb5d756685e853d9f9dc7,9,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,OPEN,2022-05-05T10:23:54Z,2022-05-22T20:05:47.908Z,2022-05-22T20:05:47.908Z,0
